"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"523","CEchoices[3]",-0.302086476257817,0.0135759653721548,1.39392506321429,-1,-1,-1,-0.115868493882363,4.5340869838018,10542.3495204139,1.00001636658653,0.08,11
"524","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,11
"525","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,12
"526","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,12
"527","CEchoices[3]",-0.293904995379558,0.0138971228399653,1.42695451692527,-1,-1,-1,-0.89973560898053,4.77102034666363,10543.1520140094,1.00001175888247,0.08,12
"528","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,12
"529","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,13
"530","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,13
"531","CEchoices[3]",-0.267832985179309,0.0141945959258993,1.45085895632467,-1,-1,-1,-0.490876885157653,4.98387513823544,10447.3061580863,1.00002841075761,0.08,13
"532","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,13
"533","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,14
"534","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,14
"535","CEchoices[3]",-0.258816948270755,0.0145800095215651,1.48105505372764,-1,-1,-1,-0.115868493882363,3.62886207857814,10318.7428481444,1.00001912486296,0.08,14
"536","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,14
"537","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,15
"538","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,15
"539","CEchoices[3]",-0.244726525910566,0.0148718148419307,1.50200864893605,-1,-1,-1,-0.779188576431706,3.86079655528255,10200.393538312,1.00003166089629,0.08,15
"540","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,15
"541","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,16
"542","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,16
"543","CEchoices[3]",-0.230494561930699,0.0151336709423857,1.52135388194163,-1,-1,-1,-0.435337838173726,4.07328199985785,10105.8284252481,0.99999783389452,0.08,16
"544","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,16
